Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5% On Purchase,Cost Of Goods,Total Cost,Date Of Purchase,Time Of Purchase,Payment,Gross Margin %,Gross Income,Rating
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,420.72,441.756,3/22/2019,19:20:00,Credit card,4.761904762,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,33.52,35.196,2/8/2019,15:31:00,Cash,4.761904762,1.676,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,175.34,184.107,3/10/2019,12:17:00,Credit card,4.761904762,8.767,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,441.8,463.89,1/25/2019,19:48:00,Cash,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,224.01,235.2105,3/15/2019,15:36:00,Cash,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,470.65,494.1825,2/25/2019,19:39:00,Credit card,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,702.63,737.7615,1/28/2019,12:43:00,Cash,4.761904762,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,670.24,703.752,1/10/2019,14:49:00,Cash,4.761904762,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,193.16,202.818,3/15/2019,10:12:00,Credit card,4.761904762,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,397.68,417.564,2/6/2019,10:42:00,Ewallet,4.761904762,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,68.12,71.526,1/7/2019,12:28:00,Ewallet,4.761904762,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,313.1,328.755,3/10/2019,19:15:00,Ewallet,4.761904762,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,547.92,575.316,1/15/2019,17:17:00,Ewallet,4.761904762,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,439.36,461.328,3/23/2019,13:24:00,Ewallet,4.761904762,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,240.96,253.008,3/3/2019,13:01:00,Cash,4.761904762,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,86.72,91.056,1/17/2019,18:45:00,Ewallet,4.761904762,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,112.22,117.831,2/2/2019,10:11:00,Cash,4.761904762,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,414.72,435.456,2/8/2019,13:03:00,Cash,4.761904762,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,789.6,829.08,3/4/2019,20:39:00,Cash,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,30.74,32.277,3/16/2019,19:47:00,Cash,4.761904762,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,375.84,394.632,3/9/2019,18:00:00,Cash,4.761904762,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,510.21,535.7205,2/27/2019,17:24:00,Credit card,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,180.09,189.0945,2/6/2019,15:47:00,Ewallet,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,113.58,119.259,2/10/2019,12:45:00,Credit card,4.761904762,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,826.3,867.615,3/19/2019,17:08:00,Ewallet,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,639.8,671.79,2/3/2019,10:19:00,Cash,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,222.95,234.0975,2/10/2019,15:10:00,Cash,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,71.48,75.054,3/22/2019,14:42:00,Ewallet,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,15.43,16.2015,1/25/2019,15:46:00,Credit card,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,32.32,33.936,3/7/2019,11:49:00,Ewallet,4.761904762,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,687.84,722.232,2/28/2019,19:01:00,Cash,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,88.68,93.114,3/27/2019,11:26:00,Cash,4.761904762,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,716.8,752.64,2/7/2019,11:28:00,Ewallet,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,723.5,759.675,1/20/2019,15:55:00,Cash,4.761904762,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,183.66,192.843,3/12/2019,20:36:00,Cash,4.761904762,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,74.22,77.931,2/15/2019,17:47:00,Credit card,4.761904762,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,334.38,351.099,2/24/2019,10:55:00,Ewallet,4.761904762,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,495.63,520.4115,2/3/2019,13:40:00,Ewallet,4.761904762,24.7815,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,158.1,166.005,3/6/2019,12:27:00,Credit card,4.761904762,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,302.96,318.108,2/14/2019,14:35:00,Cash,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,158.7,166.635,3/13/2019,16:40:00,Cash,4.761904762,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,66.94,70.287,2/10/2019,15:43:00,Ewallet,4.761904762,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,585.66,614.943,1/7/2019,15:01:00,Ewallet,4.761904762,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,787.7,827.085,1/24/2019,10:04:00,Cash,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,18.33,19.2465,2/2/2019,18:50:00,Cash,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,894.8,939.54,1/6/2019,12:46:00,Credit card,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,621.2,652.26,2/11/2019,16:19:00,Cash,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,145.56,152.838,3/5/2019,18:17:00,Ewallet,4.761904762,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,455.46,478.233,3/9/2019,18:21:00,Cash,4.761904762,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,672.03,705.6315,1/22/2019,10:55:00,Ewallet,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,416.5,437.325,1/13/2019,17:04:00,Credit card,4.761904762,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,441.36,463.428,1/9/2019,14:20:00,Credit card,4.761904762,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,180.09,189.0945,1/12/2019,15:48:00,Credit card,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,783.1,822.255,3/5/2019,16:24:00,Ewallet,4.761904762,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,101.9,106.995,1/22/2019,18:56:00,Cash,4.761904762,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,595.14,624.897,1/21/2019,14:42:00,Credit card,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,290.04,304.542,1/26/2019,19:56:00,Ewallet,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,154,161.7,1/23/2019,18:37:00,Ewallet,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,321.44,337.512,2/23/2019,18:45:00,Credit card,4.761904762,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,244.55,256.7775,3/9/2019,10:17:00,Cash,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,581.42,610.491,3/5/2019,14:31:00,Ewallet,4.761904762,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,382.6,401.73,3/25/2019,10:23:00,Cash,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,345.66,362.943,3/27/2019,20:35:00,Credit card,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,42.47,44.5935,1/2/2019,16:57:00,Cash,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,461.94,485.037,2/27/2019,17:55:00,Cash,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,189.52,198.996,1/23/2019,10:25:00,Cash,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,448.6,471.03,1/26/2019,19:54:00,Ewallet,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,153.86,161.553,1/10/2019,16:42:00,Ewallet,4.761904762,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,579.24,608.202,3/12/2019,12:09:00,Credit card,4.761904762,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,89.75,94.2375,2/6/2019,20:05:00,Credit card,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,97.16,102.018,3/8/2019,20:38:00,Ewallet,4.761904762,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,878.7,922.635,3/29/2019,10:25:00,Ewallet,4.761904762,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,74.7,78.435,2/9/2019,13:11:00,Cash,4.761904762,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,158.25,166.1625,3/23/2019,10:16:00,Ewallet,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,496.2,521.01,3/5/2019,18:14:00,Cash,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,48.71,51.1455,3/26/2019,19:20:00,Cash,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,706.95,742.2975,3/1/2019,13:22:00,Cash,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,207.63,218.0115,2/1/2019,11:27:00,Cash,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,349.56,367.038,3/28/2019,16:44:00,Cash,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,212.45,223.0725,3/19/2019,18:19:00,Cash,4.761904762,10.6225,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,886.7,931.035,1/12/2019,14:50:00,Ewallet,4.761904762,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,164.28,172.494,1/5/2019,20:54:00,Credit card,4.761904762,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,372.78,391.419,3/22/2019,20:19:00,Cash,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,305.82,321.111,3/24/2019,10:43:00,Cash,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,819.7,860.685,3/3/2019,14:30:00,Cash,4.761904762,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,32.98,34.629,2/5/2019,11:32:00,Ewallet,4.761904762,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,294.63,309.3615,2/5/2019,10:41:00,Credit card,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,509.88,535.374,2/15/2019,12:44:00,Cash,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,522.63,548.7615,1/19/2019,20:07:00,Ewallet,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,727.11,763.4655,2/1/2019,20:31:00,Credit card,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,81.06,85.113,3/2/2019,13:01:00,Credit card,4.761904762,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,109.7,115.185,3/5/2019,12:29:00,Ewallet,4.761904762,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,51.36,53.928,1/16/2019,15:26:00,Ewallet,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,109.6,115.08,2/2/2019,20:48:00,Ewallet,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,106.88,112.224,1/20/2019,20:38:00,Ewallet,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,796.48,836.304,2/14/2019,17:03:00,Credit card,4.761904762,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,399.84,419.832,1/12/2019,12:02:00,Credit card,4.761904762,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,899.64,944.622,3/9/2019,17:26:00,Credit card,4.761904762,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,511.28,536.844,3/13/2019,19:52:00,Credit card,4.761904762,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,451.76,474.348,3/9/2019,14:57:00,Ewallet,4.761904762,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,655.83,688.6215,3/10/2019,18:44:00,Credit card,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,161.25,169.3125,1/27/2019,13:26:00,Cash,4.761904762,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,285.57,299.8485,1/8/2019,16:17:00,Credit card,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,548.32,575.736,1/8/2019,15:57:00,Ewallet,4.761904762,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,812.52,853.146,2/8/2019,11:15:00,Ewallet,4.761904762,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,277.34,291.207,1/25/2019,13:18:00,Cash,4.761904762,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,552.78,580.419,3/6/2019,20:34:00,Cash,4.761904762,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,139.36,146.328,2/10/2019,18:36:00,Cash,4.761904762,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,524.7,550.935,2/17/2019,14:40:00,Credit card,4.761904762,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,487.8,512.19,3/8/2019,16:43:00,Ewallet,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,270.66,284.193,2/18/2019,19:39:00,Cash,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,131.55,138.1275,1/18/2019,20:59:00,Credit card,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,206.52,216.846,2/18/2019,15:39:00,Cash,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,519.1,545.055,2/16/2019,12:21:00,Cash,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,580,609,3/16/2019,19:25:00,Ewallet,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,898,942.9,1/23/2019,13:00:00,Credit card,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,905,950.25,1/25/2019,13:48:00,Cash,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,686,720.3,2/5/2019,19:57:00,Cash,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,30.41,31.9305,2/22/2019,10:36:00,Credit card,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,467.7,491.085,1/21/2019,16:37:00,Ewallet,4.761904762,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,277.56,291.438,3/8/2019,17:11:00,Credit card,4.761904762,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,301.4,316.47,2/10/2019,12:28:00,Ewallet,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,264.56,277.788,3/19/2019,12:46:00,Credit card,4.761904762,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,574.88,603.624,3/6/2019,15:07:00,Credit card,4.761904762,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,259.68,272.664,3/27/2019,13:48:00,Credit card,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,366.16,384.468,3/23/2019,19:20:00,Credit card,4.761904762,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,241.92,254.016,3/11/2019,16:07:00,Credit card,4.761904762,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,749.16,786.618,1/29/2019,11:56:00,Credit card,4.761904762,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,98.88,103.824,2/7/2019,18:23:00,Ewallet,4.761904762,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,647.76,680.148,1/28/2019,13:05:00,Cash,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,461.45,484.5225,2/20/2019,15:55:00,Credit card,4.761904762,23.0725,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,72.17,75.7785,1/4/2019,19:40:00,Cash,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,251.4,263.97,3/7/2019,13:58:00,Ewallet,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,874.98,918.729,3/30/2019,14:43:00,Ewallet,4.761904762,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,560.34,588.357,3/27/2019,19:18:00,Ewallet,4.761904762,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,345.44,362.712,1/19/2019,19:39:00,Credit card,4.761904762,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,63.69,66.8745,2/25/2019,16:21:00,Cash,4.761904762,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,320.53,336.5565,3/13/2019,19:44:00,Credit card,4.761904762,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,152.8,160.44,1/30/2019,19:42:00,Ewallet,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,399,418.95,2/20/2019,15:24:00,Credit card,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,340.56,357.588,2/25/2019,14:12:00,Ewallet,4.761904762,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,955.8,1003.59,1/16/2019,13:32:00,Cash,4.761904762,47.79,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,989.8,1039.29,2/8/2019,16:20:00,Credit card,4.761904762,49.49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,307.68,323.064,1/19/2019,16:31:00,Cash,4.761904762,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,486.64,510.972,2/1/2019,15:10:00,Credit card,4.761904762,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,350.05,367.5525,1/3/2019,11:36:00,Ewallet,4.761904762,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,400.25,420.2625,1/26/2019,12:45:00,Credit card,4.761904762,20.0125,9.4
